X,T,U
0.71875,0.2,-0.6696352399172941
-0.65625,0.02,-0.21440865201292977
-0.921875,0.22,-0.9474947487180272
-0.78125,0.2,-0.8376879187416086
0.8125,0.2,-0.854640000555598
0.8125,0.04,-0.6215682263335901
0.921875,0.12,-0.9294821662816678
-0.265625,0.12,0.0861891554117218
0.5,0.28,5.705600659377651e-06
0.78125,0.14,-0.7359741328714164
0.546875,0.14,-0.07885792806382902
0.390625,0.12,0.09313990464767556
-0.1875,0.1,0.056190519521656934
-0.984375,0.06,-0.9786474352275844
0.65625,0.02,-0.20425151851927856
-0.75,0.26,-0.8427987812147635
0.578125,0.04,-0.08697583526469582
0.578125,0.22,-0.24133916797787378
-0.65625,0.06,-0.27638928927287704
-0.5625,0.16,-0.13334880164773602
0.203125,0.18,0.0801343300435881
0.9375,0.02,-0.8840118787161306
0.90625,0.0,-0.7890203732112426
0.4375,0.04,0.04121190072125041
-0.78125,0.28,-0.8899730984101586
0.671875,0.2,-0.552295780918139
-0.609375,0.22,-0.3519542403114669
-0.234375,0.28,0.1419491344326703
0.5,0.24,0.007915059622854744
-0.140625,0.18,0.04911754986544254
-0.71875,0.06,-0.41401128282473654
-0.65625,0.26,-0.6120963094241171
0.265625,0.16,0.08936493232331767
0.125,0.02,0.012701530294595847
-0.359375,0.2,0.1724879879115325
0.078125,0.1,0.008564156282920777
0.953125,0.02,-0.9110657321727099
0.5625,0.2,-0.16893512875190905
0.9375,0.16,-0.9581008013336327
-0.296875,0.12,0.08540897267432888
0.59375,0.2,-0.2685413602270482
-0.890625,0.18,-0.9375734644554955
-0.8125,0.06,-0.6505583798264978
0.921875,0.18,-0.9460242698302045
0.21875,0.06,0.02748288187995411
0.28125,0.14,0.09822228037074747
0.828125,0.16,-0.8658990769883828
-0.78125,0.02,-0.5163738952252028
0.609375,0.08,-0.1782644928446837
0.734375,0.1,-0.5278869161797433
-0.21875,0.12,0.07965340515670682
-0.390625,0.18,0.10659841617397467
-0.734375,0.14,-0.6296623042722852
0.953125,0.06,-0.9532139426360948
0.484375,0.24,0.029877867530554623
-0.921875,0.14,-0.9467250749428553
-1.0,0.16,-0.9934905853284078
-0.40625,0.14,0.09545912962230278
-0.671875,0.26,-0.6626794346094641
0.6875,0.1,-0.3969671313878927
-0.59375,0.14,-0.21279062373833185
-0.484375,0.12,0.01804752788361655
0.609375,0.28,-0.4674460002119709
0.1875,0.14,0.0533327435456178
-0.921875,0.1,-0.9168565728712856
0.015625,0.02,-0.018147279382965172
0.65625,0.0,-0.2096669009391135
-0.25,0.06,0.05345137308353523
-0.796875,0.06,-0.6291647199793858
0.25,0.12,0.08022820268404175
-0.296875,0.04,0.05920310275166186
0.890625,0.2,-0.956750236850569
-0.921875,0.12,-0.9366913014419648
-0.28125,0.1,0.08084649975705346
0.796875,0.16,-0.8129891514746237
0.53125,0.06,-0.05517433982611926
-0.171875,0.22,0.07022155641414154
-0.203125,0.16,0.0805857766378495
-0.953125,0.16,-0.9786834490767201
-0.28125,0.26,0.17366322757433533
0.5,0.18,0.009099391595088192
-0.359375,0.16,0.09577196882880239
-0.578125,0.12,-0.13953066024860894
-0.3125,0.16,0.12669698147754918
0.15625,0.24,0.0815120429353296
0.125,0.1,0.02300707181754589
0.078125,0.12,0.008607022370918198
-0.40625,0.26,0.16642430063684033
0.8125,0.06,-0.6495768446697112
-0.46875,0.0,0.012407864031631464
0.203125,0.06,0.04950949067600303
0.0625,0.24,0.020283637968922186
-0.9375,0.06,-0.9144443642059898
0.515625,0.08,-0.028605970984691528
-0.484375,0.22,0.05898077683810669
0.5625,0.1,-0.09928070824924266
0.21875,0.0,0.0356105956590165
-0.8125,0.2,-0.8777342743574872
0.203125,0.14,0.0585714904502848
-0.03125,0.12,0.011119569708773468
-0.875,0.28,-0.955451931866614
-0.0625,0.08,0.019554409536896626
-0.28125,0.04,0.059577665943563014
-0.359375,0.04,0.050789800966141996
0.359375,0.16,0.1164824896221292
0.390625,0.1,0.0895550866591426
0.609375,0.24,-0.3849027085794593
-0.828125,0.28,-0.9506751388074354
0.546875,0.18,-0.11886240666083477
-0.03125,0.22,-0.0012302491306007473
0.65625,0.2,-0.48167806946625547
0.640625,0.02,-0.2024860873205407
-0.15625,0.06,0.02463733290084855
0.390625,0.08,0.08331742868805224
-0.609375,0.02,-0.14839406724768872
-0.90625,0.04,-0.8581838932453004
0.328125,0.1,0.09631120927829741
-0.078125,0.04,0.014237734063617124
-0.09375,0.0,0.010538919117273778
0.1875,0.08,0.029154774791349695
-0.46875,0.12,0.03783672922113663
0.296875,0.12,0.11107330212045577
0.421875,0.26,0.1420231045511459
0.59375,0.28,-0.3826300475671288
0.890625,0.16,-0.934023536148928
0.984375,0.28,-0.9958084004760699
-0.328125,0.18,0.12284108236495912
0.484375,0.2,0.014110406859060173
-0.09375,0.22,0.030847197361305454
-0.140625,0.26,0.06687768053967491
0.015625,0.2,0.0031043859116606097
-0.859375,0.26,-0.9715489137173974
0.609375,0.14,-0.24193549621708108
0.21875,0.24,0.1346096819165787
0.15625,0.06,0.02365983638022713
0.0,0.26,0.0035555631314660024
0.8125,0.12,-0.7722629024113851
0.953125,0.28,-0.9838866715506662
0.328125,0.28,0.21074288826021206
-0.375,0.02,0.058194350591329394
-0.796875,0.28,-0.9146413164682584
0.71875,0.02,-0.3533561989763648
0.703125,0.22,-0.6887903531210304
-0.4375,0.14,0.07449737594880196
-0.609375,0.08,-0.1612107660849398
0.546875,0.08,-0.06645620384127635
-0.6875,0.22,-0.6102490017871255
0.453125,0.22,0.08576692763983298
0.328125,0.04,0.061603633182188575
0.8125,0.08,-0.6965084162129549
-0.484375,0.26,0.053422365402587116
0.125,0.24,0.03869181699161403
-0.546875,0.22,-0.13395520385629167
-0.6875,0.16,-0.49977057362375005
-0.203125,0.24,0.10693596996871287
-0.65625,0.1,-0.3114245467770266
0.171875,0.04,0.05165021958635409
0.46875,0.16,0.027784262033579955
0.671875,0.14,-0.4322237504533309
-0.40625,0.2,0.10526459424015826
-0.265625,0.14,0.07686499219305765
0.875,0.08,-0.8331045604548803
-0.40625,0.12,0.09952742178787054
-0.53125,0.1,-0.0519089043644651
-0.546875,0.0,-0.028984141276312034
0.109375,0.06,0.01446015314958692
-1.0,0.22,-0.9959478873468225
-0.9375,0.14,-0.9599585944275177
0.578125,0.06,-0.09786200625357042
-0.78125,0.08,-0.6246791720779733
-0.578125,0.22,-0.2254302052662596
0.015625,0.0,-0.008418355991205355
0.109375,0.18,0.01914953172625063
-0.625,0.24,-0.45053649415484975
-0.796875,0.22,-0.883290612409937
0.375,0.1,0.07716662470383519
-0.40625,0.28,0.1962467020297707
-0.734375,0.12,-0.5757216291391042
-0.140625,0.02,0.009456249047505522
-0.75,0.16,-0.6824234855972974
0.46875,0.08,0.026391317599038018
0.859375,0.24,-0.9453781471530446
0.125,0.0,0.002647780692182468
-0.515625,0.08,-0.02427133190396285
-0.65625,0.14,-0.3747324161490561
0.875,0.24,-0.9448116578998282
-0.4375,0.24,0.11191387137405165
-0.21875,0.28,0.14341506824307054
-0.84375,0.22,-0.928924376446129
-0.265625,0.28,0.18267890135498357
0.765625,0.1,-0.6140872770759064
-0.53125,0.02,-0.034393332795308935
0.328125,0.14,0.12402260967138944
-0.359375,0.02,0.044657423311658825
-0.53125,0.14,-0.05104649932403473
0.34375,0.16,0.1328888017763164
0.9375,0.24,-0.9927653881062783
-0.59375,0.28,-0.3885377506497264
0.3125,0.28,0.20347441607786182
-0.625,0.22,-0.4215467783922285
-0.953125,0.14,-0.9819390728035762
-0.234375,0.24,0.14467019791558652
0.8125,0.02,-0.5958744500690254
-0.9375,0.1,-0.9245541577984433
0.453125,0.04,0.04847428913167627
0.375,0.18,0.12507780442264368
0.8125,0.0,-0.550732172007333
-0.09375,0.16,0.005417904997237689
-0.125,0.12,0.00884902704721307
-0.734375,0.24,-0.7820591005961796
0.03125,0.12,0.006575599240695828
0.21875,0.18,0.09299302712339522
-0.875,0.08,-0.816497367483531
-0.765625,0.08,-0.583519528198978
0.796875,0.08,-0.6638286479373028
-0.046875,0.28,0.009371717166645201
0.65625,0.04,-0.23366493617080464
-0.21875,0.2,0.08698571800910797
0.109375,0.14,0.020846484755041313
-0.75,0.28,-0.8493537286385101
-0.265625,0.22,0.14247789477395567
-0.296875,0.08,0.07292329786944576
0.390625,0.26,0.20302978586170115
-0.578125,0.06,-0.10906103870319758
0.609375,0.1,-0.1924193447600179
0.953125,0.16,-0.980373766161996
0.421875,0.28,0.18012734080936293
0.734375,0.2,-0.7302093331917097
0.796875,0.04,-0.5813646762121593
-0.5,0.02,0.009417698683595497
