X,T,U
0.609375,0.06,-0.14818618002754
-0.6875,0.08,-0.3694955830896995
0.4375,0.16,0.0786816980984803
-0.34375,0.24,0.19222704428600387
0.40625,0.2,0.11749670756019553
-0.734375,0.16,-0.6516075490484454
0.296875,0.2,0.14131470954771885
0.390625,0.2,0.13174097219650135
-0.8125,0.22,-0.9020581539402249
0.078125,0.06,-0.0012068274061904118
0.890625,0.0,-0.7623363610198353
-0.25,0.16,0.10485988810429579
-0.375,0.2,0.13174045823847327
0.640625,0.14,-0.3509949261710502
0.171875,0.0,0.032427867162471494
-0.78125,0.26,-0.8901702302333302
0.25,0.14,0.08588102771243829
-0.59375,0.24,-0.3296725907103918
-0.140625,0.12,0.021459481378922254
-0.40625,0.0,0.05771931058722596
0.21875,0.26,0.1304524297559259
0.25,0.06,0.06619748120448254
0.03125,0.1,-0.0014690383647074055
-0.96875,0.1,-0.9727204175713046
0.59375,0.18,-0.24735752981516432
0.625,0.12,-0.2656184427643284
0.640625,0.16,-0.3884707128150217
0.828125,0.26,-0.9312573229380169
0.03125,0.12,0.012566804459573347
0.109375,0.02,0.01617086233362019
0.796875,0.2,-0.8545844696084036
-0.328125,0.24,0.18734735465469682
-0.53125,0.18,-0.0765224198590153
0.390625,0.06,0.06458997464747719
0.28125,0.12,0.08957913516557249
0.4375,0.2,0.09794701315002022
-0.703125,0.02,-0.3142387849524857
-0.453125,0.02,0.03365233234548512
0.71875,0.12,-0.5247721918555142
-0.703125,0.06,-0.36570617274685224
-0.359375,0.22,0.14834402018875184
-1.0,0.08,-1.003314451705643
0.265625,0.14,0.08863514554848102
-0.703125,0.24,-0.7080667020663325
-0.46875,0.24,0.07199161173037613
-0.609375,0.08,-0.19228064692326702
-0.9375,0.0,-0.8678752610196075
0.5,0.08,-0.008212935217567045
-0.953125,0.2,-0.9810569469672524
-0.109375,0.0,0.017112175039663197
-0.375,0.0,0.03129131673983847
0.890625,0.12,-0.8924273052401619
-0.5,0.24,-0.010939649718127456
0.9375,0.18,-0.9662459106987149
0.609375,0.0,-0.13570511235265487
-0.125,0.28,0.07222869684863834
0.578125,0.2,-0.2316642966133662
0.4375,0.22,0.11791058668260762
-0.484375,0.18,0.022211273113360845
-0.859375,0.1,-0.8348625459616893
-0.609375,0.12,-0.21454192619590406
